date,all - actual,all - trend,all - seasonal,larceny - actual,larceny - trend,larceny - seasonal
2013-03-19,18,24.369863013698602,-2.49830424720085,7.0,7.23287671232876,-0.20666746276804604
2013-03-20,15,24.369863013698602,-2.13865293960434,3.0,7.243835616438349,-1.2970784216721598
2013-03-21,14,24.383561643835602,-3.04774384869525,4.0,7.24657534246575,-0.47914566949282794
2013-03-22,32,24.3808219178082,-2.49855331320334,10.0,7.24657534246575,-0.480889131510262
2013-03-23,26,24.4082191780822,-0.6828621550464329,6.0,7.254794520547941,-0.84601989116157
2013-03-24,35,24.4219178082192,1.86134706039566,10.0,7.271232876712331,0.24314573773008605
2013-03-25,21,24.3808219178082,1.4947219047294098,6.0,7.254794520547941,-1.30355413773691
2013-03-26,24,24.372602739726,0.495718168739371,7.0,7.23835616438356,-0.214388508845256
2013-03-27,13,24.383561643835602,-1.96281234184593,4.0,7.24657534246575,-1.9429065661304399
2013-03-28,27,24.372602739726,0.488993386672123,13.0,7.23835616438356,0.147006260768692
2013-03-29,28,24.378082191780802,-2.05596302677744,11.0,7.26027397260274,1.41848820348351
2013-03-30,20,24.3671232876712,-3.05820462079986,8.0,7.254794520547941,-0.5832552585339229
2013-03-31,17,24.339726027397298,4.67255503050774,7.0,7.243835616438349,0.41425408144117104
2013-04-01,34,24.3506849315069,4.5789062135712495,9.0,7.263013698630131,-0.13394019004077198
2013-04-02,31,24.353424657534298,2.12386262702081,12.0,7.26849315068493,0.683494430133574
2013-04-03,22,24.3232876712329,-0.0584536868023486,10.0,7.254794520547941,1.86581074395674
2013-04-04,29,24.326027397260297,-1.42482977646611,9.0,7.265753424657531,0.138288950681519
2013-04-05,37,24.342465753424698,-1.0629368748471801,8.0,7.271232876712331,0.7741544550401741
2013-04-06,22,24.339726027397298,0.48451019862729,6.0,7.273972602739719,-0.682134461522715
2013-04-07,15,24.3506849315069,0.847648430258672,3.0,7.273972602739719,-0.773541684436787
2013-04-08,23,24.3808219178082,2.39235577770575,5.0,7.2931506849315095,-0.500814411709515
2013-04-09,23,24.369863013698602,3.21003946388258,10.0,7.2931506849315095,-1.50156160971699
2013-04-10,25,24.3671232876712,-1.8818658910364698,11.0,7.2931506849315095,0.133805762636687
2013-04-11,30,24.347945205479498,-2.97277498194556,7.0,7.2876712328767095,-0.5949613606509839
2013-04-12,15,24.369863013698602,-3.78996053611742,3.0,7.3013698630137,1.2219751275183799
2013-04-13,24,24.328767123287697,-1.70054584122327,4.0,7.279452054794519,0.492958938228219
2013-04-14,13,24.342465753424698,1.6655811824380002,3.0,7.2876712328767095,-1.3247247479486202
2013-04-15,25,24.326027397260297,2.3014466867966603,12.0,7.279452054794519,1.8555990378546203
2013-04-16,21,24.306849315068497,0.7510108212922969,6.0,7.279452054794519,0.0359228236578581
2013-04-17,19,24.3013698630137,-1.6123764763415802,9.0,7.27671232876712,-1.6016861427182298
2013-04-18,27,24.2794520547945,1.66234332440562,8.0,7.243835616438361,-0.693840563639776
2013-04-19,26,24.3178082191781,0.209043199872621,6.0,7.2630136986301395,0.48598509015847996
2013-04-20,22,24.2739726027398,-1.2437587926554,4.0,7.26849315068493,0.392834405226974
2013-04-21,18,24.2602739726028,0.569690771479097,2.0,7.2630136986301395,0.7569689008683191
2013-04-22,18,24.2493150684932,0.75225615130475,6.0,7.2630136986301395,-0.5175018338763889
2013-04-23,25,24.210958904109603,1.11713784495357,6.0,7.2630136986301395,-0.517750899878879
2013-04-24,18,24.2191780821918,1.7510108212923,3.0,7.2876712328767095,-2.42808713898224
2013-04-25,14,24.2027397260274,-3.34164173163423,3.0,7.282191780821919,-0.0654470393558409
2013-04-26,29,24.1917808219178,-0.24724571669026896,11.0,7.2876712328767095,-0.0654470393558407
2013-04-27,23,24.1890410958904,-3.6046554302643696,4.0,7.2876712328767095,-0.6101543868029139
2013-04-28,21,24.1808219178082,-2.51374633935527,6.0,7.27397260273973,-0.9732926184342959
2013-04-29,32,24.1698630136987,2.5769136855513195,11.0,7.26575342465754,-0.0664433033658034
2013-04-30,25,24.1561643835617,2.4894915186771,5.0,7.25753424657534,0.113880482437435
2013-05-01,27,24.1452054794521,1.58463473162854,3.0,7.25479452054795,-0.249755881198929
2013-05-02,24,24.134246575342498,-1.04874011270521,3.0,7.26027397260274,-1.43132499701462
2013-05-03,26,24.1671232876713,-0.411878344336594,6.0,7.25479452054795,1.6580896978795299
2013-05-04,26,24.150684931506902,0.4048090778302801,10.0,7.24657534246575,0.7509913168085429
2013-05-05,14,24.1534246575343,-1.86891445890696,3.0,7.232876712328769,-1.06619423736331
2013-05-06,21,24.1424657534247,0.768196375464153,9.0,7.230136986301369,0.6598331598969611
2013-05-07,23,24.126027397260298,2.04142178019641,9.0,7.230136986301369,0.295449598253125
2013-05-08,19,24.0931506849315,-0.502538369243195,6.0,7.22191780821918,-0.886617649567547
2013-05-09,20,24.0876712328767,1.86184519240064,5.0,7.219178082191781,-0.522981285931183
2013-05-10,26,24.131506849315098,-4.411629278334099,4.0,7.227397260273969,0.657840631877036
2013-05-11,19,24.117808219178098,-3.5017911712357197,7.0,7.230136986301369,-0.7077882597792529
2013-05-12,24,24.1150684931507,0.499703224779221,8.0,7.24109589041096,0.838662549685255
